Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1897,-.23,-.19,-.12,-.01,.00,-.12,-.05,-.03,-.04,-.09,-.17,-.25,-.11,-.10,-.18,-.05,-.07,-.10
1898,-.06,-.32,-.56,-.34,-.36,-.21,-.22,-.23,-.19,-.31,-.36,-.21,-.28,-.28,-.21,-.42,-.22,-.29
1899,-.18,-.40,-.34,-.21,-.20,-.25,-.13,-.05,-.01,.00,.13,-.26,-.16,-.15,-.26,-.25,-.14,.04
1900,-.39,-.07,.02,-.15,-.06,-.15,-.08,-.03,.02,.09,-.13,-.14,-.09,-.10,-.24,-.06,-.09,-.01
1901,-.27,-.05,.05,-.05,-.17,-.10,-.08,-.12,-.16,-.29,-.17,-.29,-.14,-.13,-.15,-.06,-.10,-.20
1902,-.18,-.03,-.29,-.28,-.31,-.33,-.25,-.28,-.21,-.26,-.36,-.45,-.27,-.25,-.17,-.29,-.29,-.27
1903,-.27,-.05,-.23,-.40,-.41,-.44,-.30,-.43,-.42,-.41,-.38,-.47,-.35,-.35,-.26,-.34,-.39,-.40
1904,-.63,-.53,-.45,-.50,-.50,-.49,-.47,-.43,-.46,-.34,-.16,-.29,-.44,-.45,-.54,-.48,-.47,-.32
1905,-.37,-.58,-.24,-.37,-.33,-.31,-.24,-.20,-.14,-.24,-.09,-.21,-.28,-.28,-.41,-.31,-.25,-.16
1906,-.30,-.32,-.15,-.03,-.20,-.21,-.25,-.18,-.25,-.19,-.38,-.18,-.22,-.22,-.28,-.13,-.21,-.28
1907,-.43,-.51,-.23,-.39,-.46,-.43,-.35,-.37,-.32,-.24,-.51,-.50,-.40,-.37,-.37,-.36,-.38,-.36
1908,-.46,-.35,-.58,-.46,-.40,-.39,-.35,-.45,-.33,-.43,-.50,-.49,-.43,-.43,-.44,-.48,-.40,-.42
1909,-.70,-.47,-.52,-.59,-.53,-.51,-.42,-.30,-.37,-.38,-.31,-.54,-.47,-.47,-.55,-.55,-.41,-.35
1910,-.43,-.42,-.48,-.38,-.33,-.37,-.31,-.34,-.37,-.38,-.56,-.69,-.42,-.41,-.46,-.40,-.34,-.44
1911,-.63,-.59,-.62,-.55,-.51,-.46,-.40,-.43,-.38,-.26,-.20,-.24,-.44,-.48,-.64,-.56,-.43,-.28
1912,-.27,-.15,-.38,-.21,-.19,-.25,-.41,-.52,-.47,-.55,-.37,-.42,-.35,-.33,-.22,-.26,-.39,-.47
1913,-.41,-.43,-.43,-.36,-.45,-.46,-.35,-.33,-.34,-.35,-.17,-.02,-.34,-.37,-.42,-.41,-.38,-.28
1914,.02,-.14,-.23,-.27,-.20,-.23,-.24,-.14,-.13,-.05,-.21,-.09,-.16,-.15,-.05,-.23,-.20,-.13
1915,-.18,-.01,-.11,.08,-.03,-.14,-.02,-.16,-.12,-.22,-.14,-.25,-.11,-.09,-.09,-.02,-.11,-.16
1916,-.19,-.20,-.32,-.25,-.26,-.42,-.33,-.26,-.28,-.27,-.42,-.78,-.33,-.29,-.21,-.28,-.34,-.32
1917,-.47,-.55,-.48,-.39,-.48,-.40,-.22,-.26,-.18,-.35,-.27,-.72,-.40,-.40,-.60,-.45,-.29,-.27
1918,-.44,-.30,-.19,-.40,-.37,-.28,-.19,-.26,-.14,-.04,-.16,-.29,-.25,-.29,-.49,-.32,-.24,-.11
1919,-.19,-.22,-.26,-.19,-.19,-.27,-.21,-.19,-.18,-.15,-.30,-.35,-.22,-.22,-.23,-.21,-.23,-.21
1920,-.14,-.23,-.06,-.26,-.25,-.33,-.31,-.29,-.19,-.28,-.33,-.46,-.26,-.25,-.24,-.19,-.31,-.27
1921,-.04,-.21,-.28,-.36,-.36,-.31,-.15,-.23,-.17,-.06,-.16,-.18,-.21,-.23,-.24,-.33,-.23,-.13
1922,-.32,-.42,-.12,-.21,-.34,-.32,-.25,-.30,-.28,-.32,-.16,-.16,-.27,-.27,-.30,-.22,-.29,-.25
1923,-.25,-.36,-.31,-.37,-.33,-.23,-.28,-.28,-.27,-.11,.04,-.04,-.23,-.24,-.26,-.33,-.26,-.11
1924,-.22,-.26,-.12,-.34,-.18,-.27,-.25,-.34,-.30,-.35,-.23,-.41,-.27,-.24,-.17,-.21,-.29,-.29
1925,-.32,-.33,-.22,-.24,-.30,-.33,-.29,-.18,-.13,-.17,.04,.10,-.20,-.24,-.35,-.25,-.26,-.09
1926,.21,.08,.13,-.14,-.24,-.24,-.20,-.10,-.10,-.11,-.07,-.30,-.09,-.06,.13,-.08,-.18,-.09
1927,-.28,-.20,-.38,-.31,-.25,-.27,-.15,-.19,-.05,.00,-.04,-.36,-.21,-.20,-.26,-.32,-.20,-.03
1928,-.02,-.11,-.28,-.29,-.29,-.41,-.21,-.25,-.20,-.19,-.10,-.20,-.21,-.23,-.16,-.29,-.29,-.16
1929,-.47,-.58,-.35,-.42,-.39,-.43,-.33,-.29,-.24,-.15,-.15,-.53,-.36,-.33,-.42,-.39,-.35,-.18
1930,-.29,-.24,-.09,-.26,-.25,-.19,-.16,-.10,-.11,-.08,.14,-.08,-.14,-.18,-.35,-.20,-.15,-.02
1931,-.10,-.20,-.06,-.20,-.22,-.06,.01,-.01,-.07,-.01,-.11,-.10,-.09,-.09,-.13,-.16,-.02,-.06
1932,.14,-.17,-.20,-.08,-.23,-.30,-.24,-.24,-.13,-.10,-.27,-.23,-.17,-.16,-.04,-.17,-.26,-.16
1933,-.32,-.31,-.28,-.24,-.25,-.32,-.20,-.23,-.27,-.24,-.32,-.47,-.29,-.27,-.28,-.26,-.25,-.28
1934,-.26,-.04,-.29,-.28,-.11,-.14,-.11,-.11,-.16,-.11,-.01,-.08,-.14,-.17,-.26,-.23,-.12,-.09
1935,-.38,.11,-.14,-.35,-.26,-.23,-.19,-.17,-.17,-.08,-.28,-.21,-.20,-.19,-.12,-.25,-.20,-.18
1936,-.29,-.39,-.25,-.20,-.16,-.19,-.06,-.12,-.05,-.03,-.05,-.03,-.15,-.17,-.30,-.20,-.12,-.04
1937,-.08,.06,-.17,-.16,-.06,-.07,-.04,.03,.14,.09,.10,-.10,-.02,-.02,-.02,-.13,-.03,.11
1938,.02,-.03,.06,.05,-.07,-.17,-.08,-.04,.04,.12,.02,-.24,-.03,-.02,-.03,.01,-.10,.06
1939,-.12,-.11,-.20,-.12,-.07,-.08,-.06,-.05,.00,-.03,.06,.40,-.03,-.09,-.16,-.13,-.06,.01
1940,-.14,.06,.11,.16,.06,.05,.10,.01,.12,.08,.12,.19,.08,.09,.11,.11,.05,.11
1941,.12,.22,.05,.10,.10,.04,.16,.14,.02,.25,.12,.14,.12,.13,.18,.08,.11,.13
1942,.28,.06,.11,.13,.14,.10,.02,-.03,.00,.07,.13,.13,.09,.10,.16,.13,.03,.06
1943,.00,.22,.02,.14,.10,.00,.14,.03,.11,.31,.26,.28,.13,.12,.11,.09,.06,.22
1944,.42,.32,.34,.26,.26,.23,.23,.23,.31,.28,.13,.07,.26,.27,.34,.29,.23,.24
1945,.14,.04,.11,.24,.11,.03,.08,.25,.22,.22,.09,-.09,.12,.13,.09,.15,.12,.18
1946,.15,.05,.00,.11,-.03,-.17,-.09,-.09,-.02,-.06,-.02,-.28,-.04,-.02,.04,.03,-.11,-.03
1947,-.10,-.06,.06,.04,-.06,-.01,-.06,-.08,-.14,.06,-.01,-.16,-.04,-.05,-.14,.01,-.05,-.03
1948,.05,-.12,-.23,-.09,.07,-.06,-.13,-.10,-.11,-.07,-.09,-.21,-.09,-.09,-.07,-.08,-.10,-.09
1949,.09,-.15,-.01,-.07,-.08,-.23,-.13,-.08,-.09,-.03,-.08,-.16,-.09,-.09,-.09,-.05,-.15,-.06
1950,-.28,-.26,-.07,-.20,-.11,-.06,-.09,-.17,-.10,-.19,-.35,-.19,-.17,-.17,-.23,-.13,-.11,-.21
1951,-.34,-.43,-.19,-.10,-.02,-.05,.01,.06,.07,.07,-.01,.16,-.07,-.09,-.32,-.10,.00,.04
1952,.16,.13,-.09,.01,-.06,-.04,.05,.07,.08,-.03,-.16,-.02,.01,.02,.15,-.05,.03,-.04
1953,.08,.16,.11,.19,.09,.07,.02,.08,.06,.05,-.05,.04,.08,.07,.07,.13,.06,.02
1954,-.27,-.10,-.12,-.17,-.19,-.15,-.16,-.13,-.07,.00,.09,-.17,-.12,-.10,-.11,-.16,-.15,.00
1955,.12,-.21,-.35,-.22,-.20,-.07,-.07,.06,-.14,-.05,-.28,-.32,-.14,-.13,-.09,-.26,-.03,-.15
1956,-.16,-.24,-.22,-.28,-.28,-.14,-.12,-.26,-.19,-.24,-.15,-.09,-.20,-.22,-.24,-.26,-.17,-.20
1957,-.13,-.06,-.07,-.02,.08,.16,.01,.14,.07,.00,.06,.16,.03,.01,-.09,.00,.10,.05
1958,.38,.23,.08,.02,.08,-.06,.04,-.06,-.04,.03,.02,.00,.06,.07,.25,.06,-.02,.00
1959,.06,.09,.20,.16,.06,.02,.06,-.01,-.05,-.09,-.09,-.02,.03,.04,.05,.14,.03,-.07
1960,-.02,.13,-.36,-.16,-.08,.01,-.02,.00,.04,.08,-.12,.19,-.03,-.04,.03,-.20,.00,.00
1961,.07,.19,.10,.16,.14,.11,-.03,.00,.05,-.01,.03,-.15,.05,.08,.15,.13,.03,.03
1962,.07,.14,.11,.05,-.06,.04,-.03,-.03,-.02,-.03,.06,-.02,.02,.01,.02,.04,.00,.00
1963,-.03,.18,-.14,-.05,-.09,.02,.08,.24,.20,.15,.15,-.01,.06,.06,.05,-.10,.12,.17
1964,-.07,-.11,-.24,-.30,-.25,-.07,-.08,-.22,-.28,-.30,-.21,-.30,-.20,-.18,-.06,-.26,-.12,-.26
1965,-.08,-.18,-.12,-.19,-.15,-.10,-.11,-.01,-.14,-.04,-.06,-.06,-.10,-.12,-.19,-.15,-.07,-.08
1966,-.17,-.01,.05,-.13,-.11,.02,.08,-.11,-.02,-.15,-.02,-.05,-.05,-.05,-.08,-.06,.00,-.06
1967,-.07,-.19,.04,-.06,.13,-.08,-.01,.02,-.04,.07,-.06,-.02,-.02,-.03,-.10,.04,-.02,-.01
1968,-.23,-.14,.21,-.05,-.10,-.06,-.10,-.11,-.19,.11,-.04,-.14,-.07,-.06,-.13,.02,-.09,-.04
1969,-.11,-.15,.01,.18,.20,.05,-.02,.03,.10,.10,.12,.28,.07,.03,-.13,.13,.02,.11
1970,.10,.23,.08,.10,-.05,-.03,-.04,-.11,.11,.04,.02,-.14,.03,.06,.20,.04,-.06,.06
1971,-.03,-.21,-.19,-.11,-.07,-.18,-.12,-.02,.00,-.06,-.04,-.08,-.09,-.10,-.12,-.12,-.11,-.03
1972,-.25,-.17,.03,-.01,-.01,.04,.02,.18,.04,.08,.02,.19,.01,-.01,-.16,.00,.08,.05
1973,.27,.31,.26,.26,.26,.16,.09,.02,.07,.12,.05,-.06,.15,.17,.26,.26,.09,.08
1974,-.14,-.28,-.05,-.10,.00,-.05,-.03,.11,-.13,-.07,-.07,-.10,-.08,-.07,-.16,-.05,.01,-.09
1975,.08,.07,.14,.06,.16,-.01,-.02,-.20,-.03,-.09,-.16,-.17,-.01,-.01,.02,.12,-.08,-.09
1976,-.01,-.07,-.21,-.09,-.22,-.15,-.11,-.17,-.10,-.26,-.05,.08,-.11,-.13,-.08,-.18,-.14,-.14
1977,.17,.21,.25,.27,.31,.25,.23,.19,.02,.05,.20,.05,.18,.19,.15,.28,.23,.09
1978,.07,.12,.21,.14,.06,-.03,.07,-.18,.05,.01,.17,.11,.07,.06,.08,.14,-.05,.08
1979,.14,-.08,.18,.12,.05,.13,.02,.14,.26,.26,.29,.47,.17,.13,.06,.12,.10,.27
1980,.30,.42,.29,.32,.34,.16,.29,.26,.22,.19,.29,.20,.27,.30,.40,.32,.24,.23
1981,.55,.41,.49,.31,.23,.31,.34,.34,.17,.14,.22,.39,.33,.31,.39,.34,.33,.18
1982,.08,.15,-.02,.09,.15,.05,.13,.09,.16,.13,.13,.43,.13,.13,.21,.07,.09,.14
1983,.52,.40,.42,.30,.36,.18,.16,.31,.39,.16,.31,.17,.31,.33,.45,.36,.21,.28
1984,.31,.18,.29,.10,.34,.05,.15,.15,.19,.15,.04,-.06,.16,.18,.22,.24,.12,.13
1985,.21,-.06,.17,.11,.18,.16,-.01,.14,.15,.11,.10,.15,.12,.10,.03,.15,.10,.12
1986,.30,.38,.29,.26,.26,.12,.13,.12,.02,.14,.11,.15,.19,.19,.28,.27,.12,.09
1987,.35,.46,.17,.25,.26,.36,.46,.28,.39,.32,.25,.47,.33,.31,.32,.22,.36,.32
1988,.57,.42,.49,.44,.44,.42,.35,.45,.41,.38,.12,.34,.40,.41,.49,.46,.41,.30
1989,.16,.35,.36,.34,.17,.15,.33,.35,.37,.33,.20,.37,.29,.29,.28,.29,.28,.30
1990,.40,.41,.76,.55,.46,.37,.43,.30,.30,.43,.45,.41,.44,.44,.39,.59,.37,.39
1991,.42,.50,.35,.52,.39,.54,.51,.41,.49,.32,.31,.33,.42,.43,.45,.42,.49,.37
1992,.45,.42,.47,.23,.33,.24,.13,.10,.00,.10,.04,.22,.23,.24,.40,.34,.16,.05
1993,.38,.39,.36,.27,.27,.24,.27,.14,.11,.23,.07,.19,.24,.25,.33,.30,.22,.14
1994,.31,.04,.26,.41,.29,.42,.32,.23,.32,.42,.45,.36,.32,.30,.18,.32,.32,.40
1995,.51,.78,.45,.46,.29,.44,.48,.49,.34,.49,.44,.30,.46,.46,.55,.40,.47,.43
1996,.27,.49,.34,.37,.29,.26,.35,.49,.26,.20,.41,.40,.34,.34,.35,.33,.37,.29
1997,.32,.37,.51,.37,.38,.54,.36,.42,.56,.65,.65,.59,.48,.46,.37,.42,.44,.62
1998,.61,.89,.61,.63,.71,.77,.70,.68,.45,.46,.49,.57,.63,.63,.70,.65,.72,.47
1999,.48,.67,.33,.34,.33,.37,.41,.34,.44,.44,.41,.47,.42,.43,.57,.33,.38,.43
2000,.26,.59,.59,.59,.40,.43,.42,.43,.43,.30,.33,.30,.42,.44,.44,.53,.42,.35
2001,.44,.46,.58,.52,.59,.54,.61,.49,.56,.52,.70,.55,.55,.53,.40,.56,.55,.59
2002,.74,.76,.91,.59,.65,.54,.61,.55,.64,.57,.59,.42,.63,.64,.68,.71,.57,.60
2003,.72,.55,.57,.55,.63,.48,.55,.66,.66,.75,.54,.74,.62,.59,.56,.58,.56,.65
2004,.58,.70,.66,.63,.42,.43,.27,.45,.53,.66,.72,.52,.55,.56,.67,.57,.38,.64
2005,.72,.58,.70,.69,.65,.66,.65,.62,.77,.80,.76,.68,.69,.68,.61,.68,.65,.77
2006,.57,.71,.63,.49,.47,.63,.54,.71,.64,.69,.72,.77,.63,.62,.65,.53,.63,.69
2007,.96,.69,.71,.75,.67,.57,.62,.60,.64,.60,.57,.49,.66,.68,.81,.71,.60,.60
2008,.26,.35,.73,.53,.50,.47,.60,.44,.64,.67,.66,.55,.53,.53,.36,.59,.50,.66
2009,.61,.53,.53,.61,.63,.65,.71,.67,.69,.65,.78,.65,.64,.63,.56,.59,.68,.71
2010,.73,.79,.92,.87,.74,.64,.61,.65,.62,.71,.80,.49,.71,.73,.72,.84,.63,.71
2011,.51,.51,.64,.65,.53,.58,.74,.73,.56,.66,.56,.54,.60,.60,.50,.61,.68,.59
2012,.46,.49,.57,.68,.77,.61,.57,.63,.75,.79,.75,.52,.63,.63,.49,.67,.60,.76
2013,.66,.56,.65,.53,.61,.65,.59,.65,.77,.70,.80,.66,.65,.64,.58,.60,.63,.76
2014,.73,.50,.77,.79,.86,.65,.58,.81,.90,.86,.69,.79,.74,.73,.63,.80,.68,.82
2015,.82,.87,.90,.74,.78,.78,.73,.78,.81,1.07,1.03,1.10,.87,.84,.82,.81,.76,.97
2016,1.14,1.33,1.29,1.09,.93,.79,***,***,***,***,***,***,***,***,1.19,1.10,***,***
