Period,Value
5/1/11,3471 
6/1/11,3551 
7/1/11,3740 
8/1/11,3576 
9/1/11,3517 
10/1/11,3515 
11/1/11,3646 
12/1/11,4892 
1/1/12,2995 
2/1/12,3202 
3/1/12,3549 
4/1/12,3409 
5/1/12,3786 
6/1/12,3815 
7/1/12,3733 
8/1/12,3752 
9/1/12,3503 
10/1/12,3626 
11/1/12,3869 
12/1/12,5126 
1/1/13,3158 
2/1/13,3231 
3/1/13,3625 
4/1/13,3465 
5/1/13,3973 
6/1/13,3817 
7/1/13,4010 
8/1/13,4078 
9/1/13,3643 
10/1/13,3799 
11/1/13,4043 
12/1/13,5235 
1/1/14,3373 
2/1/14,3353 
3/1/14,3679 
4/1/14,3699 
5/1/14,4187 
6/1/14,4086 
7/1/14,4240 
8/1/14,4216 
9/1/14,3856 
10/1/14,4087 
11/1/14,4133 
12/1/14,5606 
1/1/15,3576 
2/1/15,3517 
3/1/15,3881 
4/1/15,3864 
5/1/15,4369 
6/1/15,4241 
7/1/15,4524 
8/1/15,4248 
9/1/15,4091 
10/1/15,4291 
11/1/15,4241 
12/1/15,5834 
1/1/16,3559 
2/1/16,3718 
3/1/16,3986 
4/1/16,4043 
5/1/16,4311 
